BO603 N043.28.55.898 E001.36.46.199
BO614 N043.46.25.900 E001.07.08.800
BO616 N043.43.07.601 E000.53.58.499
BO618 N043.29.38.501 E000.58.28.200
BO724 N043.28.39.799 E001.37.10.402
BO726 N043.32.38.000 E001.40.05.599
BOBMA N050.18.45.101 E003.08.53.099
BOBRI N046.50.17.999 W001.11.25.001
BOBSA N048.29.44.999 E000.38.53.999
BOBSI N046.19.26.602 E004.59.06.698
BODIL N048.31.23.401 W004.05.09.301
BODRU N044.12.31.000 E006.22.40.001
BOGRO N043.18.41.000 E000.45.00.000
BOGVA N049.28.26.900 E001.28.01.402
BOKNO N047.02.48.998 E000.41.30.001
BOLBA N043.22.12.799 E006.58.56.100
BOLGI N046.40.04.001 E005.56.17.999
BOLGU N045.55.55.999 W000.03.38.002
BOLLY N048.05.30.998 E004.09.04.000
BOLRO N050.00.00.000 W001.41.29.000
BOLSA N043.20.02.699 E003.18.54.299
BORDI N044.01.23.002 E007.45.06.998
BORGO N043.08.46.298 E004.46.14.700
